Nr;TOM-Kategorie;Massnahme;Konkrete Umsetzung MAROLD;Betroffene Systeme;Rechtsgrundlage;Pruefintervall;Verantwortlich;Status
01;Zutrittskontrolle;Verschlossene Bueroraeueme;Buero Alpenstrasse 57 wird bei Abwesenheit verschlossen, Schluesselvergabe dokumentiert;Buerogebaeude;Art. 32 Abs. 1 lit. b;Laufend;Geschaeftsfuehrung MAROLD;[ ] Umgesetzt
02;Zutrittskontrolle;Besucherregelungen;Besucher werden am Eingang Frauensteige empfangen und begleitet;Buerogebaeude;Art. 32 Abs. 1 lit. b;Laufend;Empfang/GF;[ ] Umgesetzt
03;Zutrittskontrolle;Clean-Desk-Policy;Vertrauliche Bewerbungsunterlagen werden bei Verlassen des Platzes verschlossen;Arbeitsplaetze;Art. 32 Abs. 1 lit. b;Laufend;Alle MA MAROLD;[ ] Umgesetzt
04;Zutrittskontrolle;Aktenvernichtung;Schredder (DIN 66399 P-4) im Buero fuer Papierunterlagen mit Bewerberdaten;Schredder;Art. 32 Abs. 1 lit. b;Laufend;Alle MA MAROLD;[ ] Umgesetzt
05;Zugangskontrolle;Individuelle Benutzerkonten M365;Jeder MA hat eigenes Microsoft 365 Konto, keine geteilten Accounts;Microsoft 365 Admin;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
06;Zugangskontrolle;Individuelle Hunter-Accounts;Jeder Recruiter hat persoenliches Hunter CRM Login;Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
07;Zugangskontrolle;Starke Passwoerter M365;M365 Passwortrichtlinie: min. 12 Zeichen, Komplexitaet erzwungen;Microsoft 365 Admin;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
08;Zugangskontrolle;2FA Microsoft 365;MFA aktiviert fuer alle M365 Konten (Authenticator App oder SMS);Microsoft 365;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
09;Zugangskontrolle;2FA Hunter CRM;2FA fuer Hunter CRM aktiviert (sofern verfuegbar, sonst kompensiert durch VPN);Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
10;Zugangskontrolle;Automatische Bildschirmsperre;Windows-Gruppenrichtlinie: Sperre nach 5 Min. Inaktivitaet;Alle Arbeitsplaetze;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
11;Zugangskontrolle;Account-Deaktivierung;Am letzten Arbeitstag: M365 + Hunter + Sipgate Accounts deaktivieren, nach 30 Tagen loeschen;Microsoft 365, Hunter, Sipgate;Art. 32 Abs. 1 lit. b;Bei Bedarf;IT-Verantwortlicher/GF;[ ] Umgesetzt
12;Zugriffskontrolle;Berechtigungskonzept Hunter;Recruiter sehen nur eigene Projekte/Kandidaten, GF hat Vollzugriff;Hunter CRM;Art. 32 Abs. 1 lit. b;Quartalsweise;IT-Verantwortlicher;[ ] Umgesetzt
13;Zugriffskontrolle;Berechtigungskonzept M365;Teams-Kanaele nach Projekten, SharePoint-Berechtigungen eingeschraenkt;Microsoft 365, Teams;Art. 32 Abs. 1 lit. b;Quartalsweise;IT-Verantwortlicher;[ ] Umgesetzt
14;Zugriffskontrolle;File Station Zugriffsbeschraenkung;Kundenzugriff auf File Station nur auf freigegebene Ordner, zeitlich begrenzt;File Station;Art. 32 Abs. 1 lit. b;Pro Projekt;Recruiter;[ ] Umgesetzt
15;Zugriffskontrolle;Need-to-know Recruiting;Nur projektbeteiligte Recruiter sehen Kandidatendaten des jeweiligen Mandats;Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;Recruiter/GF;[ ] Umgesetzt
16;Zugriffskontrolle;Protokollierung Hunter;Alle Zugriffe und Aenderungen in Hunter CRM werden mit Benutzer/Datum protokolliert;Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
17;Zugriffskontrolle;Quartals-Review Berechtigungen;Alle 3 Monate: Pruefung M365 und Hunter Berechtigungen auf Aktualitaet;Microsoft 365, Hunter;Art. 32 Abs. 1 lit. b;Quartalsweise;IT-Verantwortlicher/DSB;[ ] Umgesetzt
18;Zugriffskontrolle;DATEV-Zugriffsschutz;DATEV-Zugriff nur fuer GF und Steuerberater, keine Recruiter;DATEV, Windata;Art. 32 Abs. 1 lit. b;Laufend;GF;[ ] Umgesetzt
19;Weitergabekontrolle;TLS Outlook;Alle E-Mails ueber M365 Outlook werden per TLS verschluesselt;Microsoft 365 Outlook;Art. 32 Abs. 1 lit. a;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
20;Weitergabekontrolle;File Station Verschluesselung;Dateiaustausch mit Kunden ausschliesslich ueber verschluesselte File Station;File Station;Art. 32 Abs. 1 lit. a;Pro Projekt;Recruiter;[ ] Umgesetzt
21;Weitergabekontrolle;Kein unverschluesselter Versand;Bewerbungsunterlagen nie per unverschluesselter E-Mail, nur ueber File Station;Outlook, File Station;Art. 32 Abs. 1 lit. a;Laufend;Alle Recruiter;[ ] Umgesetzt
22;Weitergabekontrolle;Sipgate Verschluesselung;Sipgate VoIP-Verschluesselung aktiv (SRTP/TLS);Sipgate;Art. 32 Abs. 1 lit. a;Laufend;IT-Verantwortlicher;[ ] Umgesetzt
23;Eingabekontrolle;Hunter Aenderungslog;Alle Profilaenderungen in Hunter werden mit Benutzer und Zeitstempel gespeichert;Hunter CRM;Art. 32 Abs. 1 lit. b;Laufend;Automatisch;[ ] Umgesetzt
24;Eingabekontrolle;M365 Versionierung;SharePoint/OneDrive Versionierung aktiviert fuer alle Dokumente;Microsoft 365;Art. 32 Abs. 1 lit. b;Laufend;Automatisch;[ ] Umgesetzt
25;Auftragskontrolle;AVV Microsoft;Auftragsverarbeitungsvertrag mit Microsoft (Online Services DPA);Microsoft 365;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
26;Auftragskontrolle;AVV Hunter;AVV mit Hunter CRM Anbieter abschliessen;Hunter CRM;Art. 28 DSGVO;Jaehrlich;DSB Prof. Dr. Dehnert;[ ] Pruefen
