Nr;Verarbeitungstaetigkeit;Gruppe;Zweck;Betroffene Personen;Datenkategorien;Rechtsgrundlage;Empfaenger;Drittlandtransfer;Loeschfrist;TOM-Verweis
01;Bewerbererfassung (Online-Bewerbung);I. Kernprozesse Recruiting;Erfassung eingehender Bewerbungen ueber Website oder E-Mail;Bewerber, Initiativbewerber;Stammdaten, Kontaktdaten, Bewerbungsunterlagen, Qualifikationen, IP-Adresse, Zeitstempel, Gehaltsvorstellungen;Art. 6 Abs. 1 lit. b DSGVO, § 26 BDSG;Interne Recruiter, IT-Dienstleister (CRM, E-Mail, Hosting);Abhaengig von Cloud-Anbieter (ggf. USA);6 Monate nach Verfahrensabschluss;Zutrittskontrolle, Zugangskontrolle, Zugriffskontrolle, Verschluesselung
02;Manuelle Bewerbererfassung (Direktansprache/Empfehlung);I. Kernprozesse Recruiting;Anlage von Kandidatenprofilen im CRM nach Active Sourcing oder Empfehlungen;Potenzielle Kandidaten, empfohlene Kandidaten;Profildaten aus Business-Netzwerken, Kontaktdaten, beruflicher Werdegang, Qualifikationen, Quelle der Datenerhebung;Art. 6 Abs. 1 lit. f DSGVO (berechtigtes Interesse);Interne Recruiter, CRM-Anbieter;Ggf. USA (Business-Netzwerke);6-12 Monate bei fehlender Rueckmeldung, unverzueglich bei Widerspruch;Dokumentation berechtigtes Interesse, Widerspruchsmanagement
03;Bewerberqualifizierung;I. Kernprozesse Recruiting;Pruefung fachlicher und persoenlicher Eignung, Abgleich mit Anforderungsprofil;Bewerber, Kandidaten aus Active Sourcing;Interviewnotizen, Bewertungsprotokolle, Gehaltsangaben, Verfuegbarkeitsdaten, Eignungseinschaetzungen, ggf. besondere Kategorien (Art. 9);Art. 6 Abs. 1 lit. b DSGVO, § 26 BDSG, ggf. Art. 9 Abs. 2 lit. b;Interne Recruiter und Berater;Abhaengig von Cloud-Anbieter;6 Monate nach Verfahrensabschluss;Zugriffsbeschraenkung, Verschluesselung sensibler Bewertungen
04;Durchfuehrung von Interviews;I. Kernprozesse Recruiting;Persoenliche, telefonische oder virtuelle Interviews, Eignungsfeststellung;Bewerber, Kandidaten;Gespraechsinhalte und -notizen, ggf. Video-/Audioaufzeichnungen (nur mit Einwilligung), Bewertungsvermerke;Art. 6 Abs. 1 lit. b DSGVO, Art. 6 Abs. 1 lit. a (bei Aufzeichnung);Interne Recruiter, ggf. Kundenunternehmen;Ggf. USA (Videokonferenz-Tools);Aufzeichnungen: unverzueglich nach Auswertung, Notizen: 6 Monate;Einwilligungsmanagement, Zugriffsbeschraenkung
05;Kandidatenpraesentation beim Kunden;I. Kernprozesse Recruiting;Vermittlung geeigneter Kandidatenprofile an Auftraggeber;Vorausgewaehlte Bewerber;Lebenslauf, Qualifikationsprofil, Gehaltsvorstellung, Bewertungsvermerk;Art. 6 Abs. 1 lit. b DSGVO, Einwilligung des Bewerbers;Kundenunternehmen;Nur bei internationalen Kunden (SCC);Nach Projektabschluss gemaess Vertragsregelung;Verschluesselte Uebertragung, Einwilligungsdokumentation
06;Talentpool-Verwaltung;I. Kernprozesse Recruiting;Langfristige Speicherung interessanter Kandidaten fuer zukuenftige Projekte;Kandidaten mit Einwilligung;Vollstaendige Bewerberdaten, Einwilligungsdokumentation, Kontakthistorie;Art. 6 Abs. 1 lit. a DSGVO (Einwilligung);Interne Recruiter;Abhaengig von CRM-Hosting;2 Jahre oder Widerruf, jaehrliche Erinnerungspruefung;Einwilligungsdokumentation, automatisierte Erinnerungsfunktion
07;Absage- und Abschlussmanagement;I. Kernprozesse Recruiting;Dokumentation abgeschlossener Bewerbungsverfahren, Versand von Absagen/Zusagen;Bewerber (abgelehnte und erfolgreiche);Statusdaten, Kommunikationsverlauf, Absage-/Zusagegrund;Art. 6 Abs. 1 lit. b DSGVO, § 26 BDSG, Art. 6 Abs. 1 lit. f (Rechtsverteidigung);Bewerber, interne Mitarbeiter;Abhaengig von Cloud-Anbieter;6 Monate nach Verfahrensabschluss (AGG-Frist);Zugriffsbeschraenkung, Archivierungskonzept
08;Background-Checks / Referenzpruefung;I. Kernprozesse Recruiting;Ueberpruefung beruflicher Angaben, Einholung von Referenzen;Bewerber, Referenzpersonen;Referenzkontakte, Rueckmeldungen und Bewertungen, Zustimmung des Bewerbers;Art. 6 Abs. 1 lit. a DSGVO (Einwilligung), Art. 6 Abs. 1 lit. f;Referenzgeber, interne Recruiter;Nicht regelmaessig;6 Monate nach Verfahrensabschluss;Einwilligung dokumentieren, vertrauliche Behandlung
09;Profilrecherche in Business-Netzwerken;II. Active Sourcing und Vertrieb;Identifikation geeigneter Kandidaten, Analyse oeffentlich zugaenglicher Profildaten;Potenzielle Kandidaten;Oeffentlich zugaengliche Profildaten, beruflicher Werdegang, Qualifikationen, Kontaktdaten;Art. 6 Abs. 1 lit. f DSGVO (berechtigtes Interesse);Interne Recruiter;USA (LinkedIn), EU (Xing);Bei fehlender Weiterverarbeitung: unverzueglich;Dokumentation berechtigtes Interesse, nur berufsbezogene Daten
10;Direktansprache potenzieller Kandidaten;II. Active Sourcing und Vertrieb;Kontaktaufnahme ueber soziale Netzwerke oder E-Mail;Potenzielle Kandidaten;Kontaktdaten, Kommunikationsverlauf, Profildaten;Art. 6 Abs. 1 lit. f DSGVO;Interne Recruiter, CRM-Anbieter;USA (LinkedIn);Bei Desinteresse: unverzueglich, bei Interesse: Ueberfuehrung in Bewerbermanagement;Opt-out in jeder Nachricht, Dokumentation der Ansprache
