Nr;Verarbeitungstaetigkeit;Gruppe;Zweck;Betroffene Personen;Datenkategorien;Rechtsgrundlage;Empfaenger;Eingesetzte Systeme MAROLD;Drittlandtransfer;Drittland-Absicherung;Loeschfrist;TOM-Verweis
01;Bewerbererfassung (Online-Bewerbung);I. Kernprozesse Recruiting;Erfassung eingehender Bewerbungen ueber Website oder E-Mail;Bewerber, Initiativbewerber;Stammdaten, Kontaktdaten, Bewerbungsunterlagen, Qualifikationen, IP-Adresse, Gehaltsvorstellungen;Art. 6 Abs. 1 lit. b DSGVO, § 26 BDSG;Interne Recruiter, IT-Dienstleister;Hunter CRM, WordPress (Job-Center), Microsoft 365 (Outlook);USA (Microsoft 365);EU-U.S. DPF, SCC;6 Monate nach Verfahrensabschluss;Rollen-/Berechtigungskonzept, 2FA, TLS
02;Manuelle Bewerbererfassung (Active Sourcing/Empfehlung);I. Kernprozesse Recruiting;Profilanlage im CRM nach Direktansprache oder Empfehlung;Potenzielle Kandidaten, empfohlene Kandidaten;Profildaten, Kontaktdaten, Werdegang, Qualifikationen, Datenquelle;Art. 6 Abs. 1 lit. f DSGVO;Interne Recruiter;Hunter CRM, LinkedIn, Xing, Compleady;USA (LinkedIn, Compleady);SCC, DPF (LinkedIn);6-12 Monate / unverzueglich bei Widerspruch;Dokumentation berechtigtes Interesse, Art. 14 Pflicht
03;Bewerberqualifizierung;I. Kernprozesse Recruiting;Eignungspruefung, Vorauswahl, Profilabgleich;Bewerber, Kandidaten;Interviewnotizen, Bewertungen, Gehalt, Verfuegbarkeit, ggf. Art. 9 Daten;Art. 6 Abs. 1 lit. b, § 26 BDSG, ggf. Art. 9 Abs. 2 lit. b;Interne Recruiter/Berater;Hunter CRM, Microsoft Teams;USA (Teams via M365);DPF, SCC;6 Monate nach Verfahrensabschluss;Zugriffsbeschraenkung auf Projektbeteiligte
04;Durchfuehrung von Interviews;I. Kernprozesse Recruiting;Persoenliche/telefonische/virtuelle Interviews;Bewerber, Kandidaten;Gespraechsinhalte, Notizen, ggf. Aufzeichnungen;Art. 6 Abs. 1 lit. b, Art. 6 Abs. 1 lit. a (Aufzeichnung);Interne Recruiter, ggf. Kunden;Microsoft Teams, Sipgate, Hunter CRM;USA (Teams);DPF, SCC;Aufzeichnungen: unverzueglich, Notizen: 6 Monate;Einwilligungsmanagement fuer Aufzeichnungen
05;Kandidatenpraesentation beim Kunden;I. Kernprozesse Recruiting;Profilvermittlung an Auftraggeber;Vorausgewaehlte Bewerber;CV, Qualifikationen, Gehaltswunsch, Bewertungsvermerk;Art. 6 Abs. 1 lit. b + Einwilligung Bewerber;Kundenunternehmen;Hunter CRM, File Station, Outlook;Nur bei internationalen Kunden;SCC bei Bedarf;Nach Projektabschluss, Loeschbestaetigung vom Kunden;Verschluesselte Uebertragung via File Station
06;Talentpool-Verwaltung;I. Kernprozesse Recruiting;Langzeitspeicherung fuer zukuenftige Projekte;Kandidaten mit Einwilligung;Vollstaendige Bewerberdaten, Einwilligungsdokumentation;Art. 6 Abs. 1 lit. a DSGVO;Interne Recruiter;Hunter CRM;Abhaengig von Hunter-Hosting;Zu pruefen;2 Jahre oder Widerruf;Einwilligungsdoku, Erinnerungsfunktion im CRM
07;Absage-/Abschlussmanagement;I. Kernprozesse Recruiting;Dokumentation, Absagen/Zusagen versenden;Bewerber;Statusdaten, Kommunikation, Absagegrund;Art. 6 Abs. 1 lit. b/f, § 26 BDSG;Bewerber, interne MA;Hunter CRM, Outlook;USA (M365);DPF, SCC;6 Monate (AGG-Frist);Zugriffsbeschraenkung, Archivierung
08;Background-Checks / Referenzpruefung;I. Kernprozesse Recruiting;Referenzpruefung beruflicher Angaben;Bewerber, Referenzpersonen;Referenzkontakte, Rueckmeldungen;Art. 6 Abs. 1 lit. a/f;Referenzgeber;Hunter CRM, Sipgate, Outlook;Nicht regelmaessig;-;6 Monate;Einwilligung Bewerber, Art. 14 fuer Referenzpersonen
09;Profilrecherche Business-Netzwerke;II. Active Sourcing und Vertrieb;Kandidatenidentifikation;Potenzielle Kandidaten;Oeffentliche Profildaten, Werdegang, Qualifikationen;Art. 6 Abs. 1 lit. f DSGVO;Interne Recruiter;LinkedIn, Xing;USA (LinkedIn);SCC, DPF;Unverzueglich bei Nicht-Weiterverarbeitung;Nur berufsbezogene Daten
10;Direktansprache Kandidaten;II. Active Sourcing und Vertrieb;Kontaktaufnahme Active Sourcing;Potenzielle Kandidaten;Kontaktdaten, Kommunikation, Profildaten;Art. 6 Abs. 1 lit. f DSGVO;Interne Recruiter;LinkedIn, Xing, Hunter CRM, Outlook;USA (LinkedIn);SCC, DPF;Bei Desinteresse: unverzueglich;Opt-out in Nachricht, Dokumentation Ansprache
